iter,total_num_steps,fps,entropy,value_loss,action_loss,mean_rew,median_rew,min_rew,max_rew,test_mean_rew,test_median_rew,test_min_rew,test_max_rew
1,39984,525,-1.7271621172244733,15941.610860032302,-0.004485665546440615,-445.29584406250007,-272.689396,-7402.519807,-93.75021,-324.616725,-324.616725,-324.616725,-324.616725
2,79968,517,-1.7099394642389738,13737.227964430589,9.469509569522089e-05,-609.066618875,-251.567569,-8625.167887,-129.460224,-1002.574383,-1002.574383,-1002.574383,-1002.574383
3,119952,526,-1.7182412071105762,12176.066616586539,-0.003051691856549974,-562.7433962232143,-277.641958,-8800.268155,-126.852433,-466.404827,-466.404827,-466.404827,-466.404827
4,159936,543,-1.7241227547327678,15714.804809570312,-0.0029383916541402683,-542.9716575357144,-262.459167,-8247.349808,-134.911043,-258.80266,-258.80266,-258.80266,-258.80266
5,199920,566,-1.7317686979587261,23885.902224496695,-0.004004126505587453,-411.8412166428571,-240.8732365,-9730.722755,-98.835719,-212.879145,-212.879145,-212.879145,-212.879145
6,239904,587,-1.7472481495294816,19199.299756641878,-0.0018520624624215997,-391.2576865892857,-261.7281845,-8048.727846,-132.927535,-286.607542,-286.607542,-286.607542,-286.607542
7,279888,602,-1.7614081223805746,20946.1244930952,-0.0023578395615960544,-541.5988379553571,-269.67523700000004,-8312.224838,-122.98347,-330.193092,-330.193092,-330.193092,-330.193092
8,319872,613,-1.7615480808111337,16423.93893346542,0.0003682216411480346,-564.0622027946429,-251.75565699999999,-9110.034573,-137.648107,-243.442897,-243.442897,-243.442897,-243.442897
9,359856,620,-1.7617611362383916,19882.996282645985,-0.00262194690706868,-329.00707966964285,-255.81041599999998,-3281.917904,-125.951526,-297.124839,-297.124839,-297.124839,-297.124839
10,399840,626,-1.7595191280047098,20829.266129713793,-0.005389792746502327,-617.0806199642858,-263.986844,-11346.007336,-142.311407,-298.492345,-298.492345,-298.492345,-298.492345
11,439824,631,-1.7621411809554466,14709.854383967473,-0.00035696686404079606,-421.4580500357143,-252.99919549999998,-8554.33469,-127.194515,-386.23554,-386.23554,-386.23554,-386.23554
12,479808,634,-1.7689447476313664,9687.849035879282,-0.004142540387175149,-277.55744542857144,-246.4930435,-1106.031673,-97.327853,-272.406567,-272.406567,-272.406567,-272.406567
