iter,total_num_steps,fps,entropy,value_loss,action_loss,mean_rew,median_rew,min_rew,max_rew,test_mean_rew,test_median_rew,test_min_rew,test_max_rew
1,39984,358,-1.757287445740822,17963.99623749562,-0.002893546285262206,-620.7554533571429,-229.9682355,-11426.882264,162.663056,-266.642855,-266.642855,-266.642855,-266.642855
2,79968,357,-1.7587615789511264,23338.37291791867,-0.0011813152483041332,-607.9259918392856,-236.326008,-9945.330039,601.074114,-268.509609,-268.509609,-268.509609,-268.509609
3,119952,356,-1.761518088976542,19532.227651116787,-0.004701680951998592,-619.4010296071428,-208.19602500000002,-9796.98121,-85.294973,-409.296457,-409.296457,-409.296457,-409.296457
4,159936,355,-1.765422260761261,17660.063239151394,-0.004073106839290957,-297.97889646428575,-249.02514250000002,-3063.285897,-59.237933,-347.749483,-347.749483,-347.749483,-347.749483
5,199920,354,-1.7694630564787448,18540.96748015575,-0.00045440885986840256,-513.1298289821428,-235.552863,-11028.813363,-114.214937,-295.825973,-295.825973,-295.825973,-295.825973
6,239904,353,-1.7696997923728748,25544.803504356973,0.0007050293496295359,-608.4470740714286,-209.980575,-11141.976171,65.239851,-266.857489,-266.857489,-266.857489,-266.857489
7,279888,353,-1.7746471032118185,28218.804428335337,-0.0013807253354267838,-733.0467893392857,-222.6415925,-8985.073754,496.592283,-296.988745,-296.988745,-296.988745,-296.988745
8,319872,351,-1.778855867874928,27263.272748272237,0.0008008179768904274,-521.259269,-197.21560499999998,-8074.114301,-41.849891,-198.392861,-198.392861,-198.392861,-198.392861
9,359856,350,-1.7815655200909346,27438.61415640024,0.00342477160335805,-305.8356478571429,-217.067436,-3261.639523,83.065081,-232.044932,-232.044932,-232.044932,-232.044932
10,399840,350,-1.7835040554022177,19001.511721567007,-0.004038851710524446,-294.5490106964285,-238.055421,-1674.702245,-106.913076,-405.868189,-405.868189,-405.868189,-405.868189
11,439824,350,-1.7945066118851687,13939.169325295472,2.4881030623920454e-05,-364.9952252857143,-221.3993785,-6804.089077,-21.988091,-209.969426,-209.969426,-209.969426,-209.969426
12,479808,349,-1.8001696834197412,21649.148036545972,-0.001637898984126178,-205.5197896785714,-177.117956,-737.705856,-36.027308,-6077.284045,-6077.284045,-6077.284045,-6077.284045
13,519792,349,-1.798674001143529,21388.562802045773,0.002433311831331454,-176.14270175000001,-162.304526,-636.638439,13.738324,-170.906364,-170.906364,-170.906364,-170.906364
14,559776,349,-1.801167662632771,13313.999044408554,-0.0014086829987391889,-197.1368835,-174.38000599999998,-562.853202,-48.566789,-199.687524,-199.687524,-199.687524,-199.687524
15,599760,348,-1.8124332978175237,6240.381906753932,-2.619999364609472e-05,-194.00737505357145,-177.90414900000002,-869.841806,-57.834363,-201.487371,-201.487371,-201.487371,-201.487371
16,639744,348,-1.826737685692616,11809.69038082025,-0.0017579617303757308,-183.92449357142854,-150.601586,-2120.393804,-30.254457,-227.496086,-227.496086,-227.496086,-227.496086
17,679728,347,-1.832498270731706,6671.750596110026,-0.003113401284421203,-307.4479634821428,-154.210237,-8695.425937,45.292914,-151.829177,-151.829177,-151.829177,-151.829177
18,719712,346,-1.8490739865180774,6770.37781614646,-0.0043620277240384335,-179.94962757142858,-130.067116,-1669.239439,-20.519828,-91.827883,-91.827883,-91.827883,-91.827883
19,759696,346,-1.8858755001654992,4164.108962230193,-0.0051490119441810886,-142.91687758928572,-141.8976535,-618.701157,3.751539,-53.391302,-53.391302,-53.391302,-53.391302
20,799680,346,-1.9083320535146273,9633.970923203688,-0.004039138596533284,-341.36973089285715,-137.36167849999998,-9379.191575,0.757841,-91.944743,-91.944743,-91.944743,-91.944743
21,839664,345,-1.9179401437441508,3890.330410883977,-0.0037284881034933136,-101.71601,-84.05968899999999,-268.211985,3.528637,-89.450107,-89.450107,-89.450107,-89.450107
22,879648,345,-1.910146135550279,6641.654749337221,-0.0023293646400233204,-375.9571290357143,-94.9278765,-14133.903841,2.226502,-64.587911,-64.587911,-64.587911,-64.587911
