iter,total_num_steps,fps,entropy,value_loss,action_loss,mean_rew,median_rew,min_rew,max_rew,test_mean_rew,test_median_rew,test_min_rew,test_max_rew
1,39984,536,-1.765891846632346,6930.937406373635,-0.005848429115382877,-484.97747837500003,-220.0605755,-10202.428523,-110.280653,-268.006958,-268.006958,-268.006958,-268.006958
2,79968,535,-1.7729457152195467,6386.5966422056545,-0.0007385141449608804,-417.44778775,-239.61506200000002,-5175.257149,-56.49727,-381.550097,-381.550097,-381.550097,-381.550097
3,119952,534,-1.7917751520107954,6050.119643852038,-0.00207511115082665,-396.4802970535714,-223.796097,-3363.867558,-26.775369,-243.956139,-243.956139,-243.956139,-243.956139
4,159936,533,-1.8071611419702187,11126.497658128004,-0.004032983108789687,-421.9636049464286,-231.1411255,-8619.370908,-19.97763,-223.871194,-223.871194,-223.871194,-223.871194
5,199920,533,-1.816779497342232,7522.6181582719855,-0.002634585880477038,-485.8884289464286,-207.2358965,-8253.353923,-62.804338,-220.566582,-220.566582,-220.566582,-220.566582
6,239904,532,-1.8190793285003075,7890.071085298979,-0.002882879249787388,-554.8421111250001,-243.60926,-5314.514063,-112.496498,-292.673537,-292.673537,-292.673537,-292.673537
7,279888,532,-1.8064347930443592,8325.587125455417,-0.0018925352474886891,-299.7642400178571,-205.969729,-2062.641869,-94.943169,-206.058111,-206.058111,-206.058111,-206.058111
8,319872,531,-1.8085943008080507,12167.170270401391,-0.003184075219901271,-483.1814320178572,-200.2412655,-8379.358203,-87.603923,-198.825354,-198.825354,-198.825354,-198.825354
9,359856,531,-1.827159469249921,8626.24478556315,-0.00399006768911465,-328.22686730357145,-209.935945,-3444.087891,-98.744406,-244.126565,-244.126565,-244.126565,-244.126565
10,399840,531,-1.849462967652541,8813.948927189753,-0.0028982664320397022,-378.34858601785714,-237.414022,-6555.214327,-39.840472,-290.980276,-290.980276,-290.980276,-290.980276
11,439824,531,-1.869985635769673,4874.62960349841,-0.004923090158708058,-266.7716480178571,-204.093169,-2475.526357,-106.364345,-253.139335,-253.139335,-253.139335,-253.139335
12,479808,530,-1.8875178468533051,7587.286229255872,0.0029227992611805136,-240.12622880357145,-199.3993955,-1202.31313,-66.27003,-160.693215,-160.693215,-160.693215,-160.693215
13,519792,529,-1.8980268065746013,9148.3434271788,-0.001879921204444821,-585.3061501607143,-212.37958550000002,-7532.955926,-117.277567,-168.89164,-168.89164,-168.89164,-168.89164
14,559776,529,-1.9149421251737155,2502.0347299820337,-0.007781591224603546,-197.6702510178571,-189.5153275,-342.909193,-91.203468,-143.548522,-143.548522,-143.548522,-143.548522
15,599760,529,-1.9381993073683519,3548.645985960349,-0.0006268785858308908,-221.73236464285716,-173.7753155,-1533.480331,-73.787588,-145.071548,-145.071548,-145.071548,-145.071548
16,639744,528,-1.9706226192987881,3841.1245561257388,-0.001933505602240378,-194.10282224999997,-175.286272,-422.936695,-79.717976,-149.219565,-149.219565,-149.219565,-149.219565
17,679728,528,-2.0062970525179153,4948.454353371645,-0.0029685032213306746,-174.60879316071427,-173.2470165,-336.054471,-69.064668,-135.61392,-135.61392,-135.61392,-135.61392
18,719712,527,-2.0379756410916645,5452.736854592348,-0.0011430781698996166,-187.0159144821429,-155.971793,-1357.676741,-73.816396,-144.546725,-144.546725,-144.546725,-144.546725
19,759696,527,-2.06307970621647,4247.261214036208,-0.001432041589391585,-166.11072535714285,-161.4261485,-589.428156,-52.480541,-141.633136,-141.633136,-141.633136,-141.633136
20,799680,527,-2.086854981764769,3141.20079690004,-0.003712564922399253,-196.66539376785718,-162.7636185,-1408.388052,-56.020824,-153.24571,-153.24571,-153.24571,-153.24571
21,839664,527,-2.112241247984079,3244.2437410794773,0.0021597049867313426,-154.390497375,-156.4141625,-370.598773,-52.37597,-126.136999,-126.136999,-126.136999,-126.136999
22,879648,527,-2.158531474455809,1557.9277572631836,-0.005994096946027966,-156.81300541071428,-160.331266,-371.081412,-46.805959,-167.176211,-167.176211,-167.176211,-167.176211
23,919632,526,-2.196861627163031,420.23619816119856,-0.006628052279008373,-145.44320741071428,-141.935746,-380.098503,-52.519084,-89.253236,-89.253236,-89.253236,-89.253236
24,959616,526,-2.241563594646943,864.3405515817495,-0.0063105673682189375,-133.4072215,-114.4189025,-722.059775,-58.783217,-85.897681,-85.897681,-85.897681,-85.897681
25,999600,526,-2.248483119866787,1898.0578372270634,-0.0037407608928986475,-99.04479033928571,-90.1312095,-189.727643,-55.127692,-70.6525,-70.6525,-70.6525,-70.6525
26,1039584,525,-2.282574663406763,432.56925730583,-0.00592496958236622,-101.10058432142857,-85.2178215,-314.1879,-50.010318,-58.381236,-58.381236,-58.381236,-58.381236
27,1079568,525,-2.3664299567540485,113.02714962592492,-0.009392388517992983,-90.34320998214285,-79.38813350000001,-280.499906,-47.716648,-49.152863,-49.152863,-49.152863,-49.152863
28,1119552,525,-2.4075276374816896,314.0246008457282,-0.008997422013784765,-75.54218844642857,-68.903839,-192.75196,-44.530556,-57.189577,-57.189577,-57.189577,-57.189577
29,1159536,524,-2.442879598568647,1720.1285424550374,-0.0020349485772805146,-72.68477746428572,-68.845969,-184.837726,-43.416536,-60.243048,-60.243048,-60.243048,-60.243048
30,1199520,524,-2.5146919684532363,55.44737128722362,-0.009270535885410098,-79.5816516607143,-67.3100345,-284.990512,-45.150345,-60.973914,-60.973914,-60.973914,-60.973914
31,1239504,524,-2.540894298064403,310.55998481848303,-0.006244236307956714,-69.18342828571429,-63.605684999999994,-179.928469,-50.642087,-55.564266,-55.564266,-55.564266,-55.564266
32,1279488,523,-2.6530185833955424,15.9158328355887,-0.005442723567867711,-63.771556982142855,-60.569713,-140.500983,-44.690522,-52.351461,-52.351461,-52.351461,-52.351461
33,1319472,523,-2.753044755030901,14.867130218408047,-0.01455798037232643,-62.88658678571429,-60.742846,-109.821023,-38.685677,-51.43813,-51.43813,-51.43813,-51.43813
